project_id,scene_id,scene_type,description,timestamp,duration,prompt,visual_fx,style,text_content,text_bg,status,image_url,created_at,error,chat_id
proj_1768231917111_mbzdhx,1,hook,"Close-up on a wise, elderly woman's face. Her eyes are glistening with unshed tears, but a profound, emotional smile plays on her lips. She looks directly into the camera with intense love and pride. Cinematic realistic, dramatic lighting, shallow depth of field.",0:00,3,"cinematic realistic, close-up of an elderly woman's face, profound emotional smile, glistening eyes, direct eye contact, dramatic rim lighting from side, shallow depth of field, subtle tear on cheek, 8k, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",zoom_in,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,2,buildup,"POV shot looking down at a tiny baby hand gently grasping an adult's finger. Soft focus on the hands, blurred background.",0:03,2,"cinematic realistic, POV looking down, tiny baby hand gently grasping an adult's finger, soft focus, blurred background, warm lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",fade,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,3,buildup,A toddler with bright eyes giggling as she takes wobbly steps towards the camera in a sun-drenched garden. Slow motion.,0:05,3,"cinematic realistic, slow-motion, toddler with bright eyes giggling, taking wobbly steps in a sun-drenched garden, backlight, dramatic lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",slow_motion,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,4,transition,"Quick montage of a child drawing with crayons, then a slightly older child engrossed in a book, then a pre-teen laughing freely.",0:08,2,"cinematic realistic, quick cuts, child drawing with crayons, then older child reading, then pre-teen laughing, seamless transition, dramatic lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",static,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,5,buildup,"Close-up on the granddaughter's focused face, perhaps solving a puzzle or building something small, a look of determination and quiet joy. Cinematic realistic.",0:10,3,"cinematic realistic, close-up of a young girl's focused face, intense determination, quiet joy, solving a puzzle, dramatic lighting on her features, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",zoom_in,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,6,buildup,"Granddaughter (around 8-10 years old) looking up at a towering ancient tree or a vast, star-filled night sky, conveying wonder.",0:13,2,"cinematic realistic, young girl looking up at a towering ancient tree at dusk, sense of wonder and awe, dramatic natural light, shallow depth of field, wide shot, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",pan_up,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,7,text,"Text overlay: 'Une source d'émerveillement.' on a soft, blurred background of dandelions in a field.",0:15,3,,fade,"cinematic realistic, dramatic lighting, shallow depth of field",Une source d'émerveillement.,"Blurred natural background of dandelions in a sunlit field, soft light, shallow depth of field",pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,8,buildup,"Granddaughter (around 6-8 years old) running freely through a field of tall grass, sunlight dappling through trees, full of life.",0:18,2,"cinematic realistic, young girl running freely through a sunlit field of tall grass, sunlight dappling through distant trees, dramatic lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",pan_right,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,9,peak,"Granddaughter (around 10-12 years old) stumbles slightly but immediately catches herself, pushing off the ground with a determined expression. Slow motion.",0:20,3,"cinematic realistic, slow-motion, young girl stumbling lightly but immediately pushing herself up with a determined expression, dramatic backlighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",slow_motion,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,10,text,Text overlay: 'Force et Résilience.' on a background of subtly textured rock or weathered wood.,0:23,3,,fade,"cinematic realistic, dramatic lighting, shallow depth of field",Force et Résilience.,"Subtly textured background of weathered wood or rough stone, soft glow, shallow depth of field",pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,11,buildup,"Grandmother's aged hand gently resting on the granddaughter's shoulder, a shared, knowing gaze between them. Cinematic realistic.",0:26,2,"cinematic realistic, close-up, grandmother's aged hand gently resting on granddaughter's shoulder, tender shared gaze, dramatic lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",zoom_out,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,12,peak,"Granddaughter (teenager) sketching intently in a notebook or focused on a complex creative project, completely absorbed. Cinematic realistic.",0:28,3,"cinematic realistic, teenage girl sketching intently in a notebook, focused expression, dramatic side lighting, shallow depth of field, art studio environment, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",zoom_in,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,13,buildup,"Granddaughter standing on a hill, looking towards a vast, distant horizon, a sense of hope and limitless possibility. Cinematic wide shot.",0:31,2,"cinematic realistic, wide shot, teenage girl standing on a hill, looking towards a vast, distant horizon at sunset, sense of hope and possibility, dramatic sky, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",pan_left,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,14,text,"Text overlay: 'Mon inspiration vivante.' on a soft, warm gradient background (e.g., sunrise colors).",0:33,3,,fade,"cinematic realistic, dramatic lighting, shallow depth of field",Mon inspiration vivante.,"Soft, warm gradient background, resembling sunrise colors (soft orange to pink), shallow depth of field",pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,15,peak,"Grandmother and granddaughter walking hand-in-hand down a winding path, seen from behind, silhouettes against a golden sunset.",0:36,3,"cinematic realistic, grandmother and granddaughter walking hand-in-hand down a winding path, seen from behind, silhouettes against a golden sunset, dramatic lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",pan_left,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,16,peak,"Grandmother looking at her granddaughter with immense love and pride, granddaughter absorbed in something joyful, unaware of the intense gaze.",0:39,3,"cinematic realistic, grandmother looking at her granddaughter with immense love and pride, granddaughter absorbed in a joyful activity (e.g., playing with a pet), unaware of gaze, dramatic soft lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",zoom_in,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,17,text,"Prominent text overlay: 'Tu es l'inspiration de ma vie.' on an elegant, soft-focus background of a warm home interior.",0:42,3,,fade,"cinematic realistic, dramatic lighting, shallow depth of field",Tu es l'inspiration de ma vie.,"Elegant, soft focus background of a warm, inviting home interior, dramatic lighting, shallow depth of field",pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,18,peak,"Granddaughter (young adult) laughing genuinely, head thrown back in pure joy, maybe during a shared moment with friends or family. Slow motion.",0:45,3,"cinematic realistic, slow-motion, young adult granddaughter laughing genuinely, head thrown back in pure joy, soft natural light, shallow depth of field, candid moment, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",slow_motion,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,19,peak,"Grandmother gently caressing her granddaughter's hair or cheek, a tender, intimate moment full of affection. Cinematic realistic.",0:48,3,"cinematic realistic, close-up, grandmother gently caressing her granddaughter's hair, a tender, intimate moment, dramatic soft lighting from side, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",zoom_in,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,20,peak,"Grandmother and granddaughter embracing tightly, seen from behind, framed against a beautiful window light or sunset, showing deep connection.",0:51,3,"cinematic realistic, grandmother and granddaughter embracing tightly, seen from behind, framed against a beautiful window light or golden sunset, showing deep connection, dramatic lighting, shallow depth of field, cinematic realistic, dramatic lighting, shallow depth of field --ar 9:16 --v 7",fade,"cinematic realistic, dramatic lighting, shallow depth of field",,,pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809
proj_1768231917111_mbzdhx,21,cta,"Text overlay: 'Qui est l'inspiration de votre vie? Dites-nous en commentaire.' on a soft, blurred background of a cozy living room at sunset.",0:54,3,,fade,"cinematic realistic, dramatic lighting, shallow depth of field",Qui est l'inspiration de votre vie? Dites-nous en commentaire.,"Soft, blurred focus of a cozy living room at sunset, warm glow, shallow depth of field",pending,,2026-01-12T15:32:24.613Z,FALSE,5985674809